dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,23,01-23,37,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.253305313012339,0.3961099087443454,0.6295823469107712,4.936127124525985e-24,0.7709447415329769,0.15706556815869843,0.1595772215598037,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,23,01-23,37,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.515243309226686,0.34445891607171564,0.5882571419589011,1.787241932972776e-20,0.7490450725744844,0.1816026466123025,0.02828479451464072,0.5098039215686274,0.16233766233766234,0.5098039215686274,26,25,129,25,205,51,False
B2000WCN001002,23,01-23,37,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.793363170952379,0.4816774000878381,0.6940424085468611,8.599039488500196e-31,0.8256939139292081,0.13955909785188816,0.2532504345269162,0.5882352941176471,0.13636363636363635,0.5882352941176471,30,21,133,21,205,51,False
B2000WCN001002,23,01-23,37,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.0053706496140045,0.4430473544021293,0.6682253451692474,6.991742995819768e-28,0.8071683218742042,0.16095734650171886,0.13875318478040044,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,23,01-23,37,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.72326235019397,0.4941451185075266,0.7031535403338101,6.803194231116511e-32,0.8161446396740514,0.14492732960864138,0.22452622526061194,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,23,01-23,37,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.042217932323074,0.43619177395037334,0.6616405583744922,3.473494391002025e-27,0.8022663610898906,0.16063307749921094,0.14048827579522039,0.5098039215686274,0.16233766233766234,0.5098039215686274,26,25,129,25,205,51,False
B2000WCN001002,24,01-24,36,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.239492293565868,0.39877484585350653,0.6317099901647693,3.1300090607977e-24,0.7694168576521517,0.15692098619764555,0.16035084734453098,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,24,01-24,36,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.459496665251467,0.35562898948387434,0.5975209916811177,3.153797882822444e-21,0.751973516679399,0.1823533904599275,0.024267731846390084,0.49019607843137253,0.16883116883116883,0.49019607843137253,25,26,128,26,205,51,False
B2000WCN001002,24,01-24,36,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.7335419095582605,0.49232635333551444,0.7016764573006835,1.0331444787209014e-31,0.829004329004329,0.13822408462529384,0.2603937921596673,0.6078431372549019,0.12987012987012986,0.6078431372549019,31,20,134,20,205,51,True
B2000WCN001002,24,01-24,36,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",5.907923492722056,0.46097567767495407,0.6805539362061368,3.10561143973066e-29,0.817354214413038,0.1579630940494301,0.15477476095909093,0.5882352941176471,0.13636363636363635,0.5882352941176471,30,21,133,21,205,51,False
